1, KRAUS-HIRSCHEN-TRUNK 22 RAUCHBIER (KELLERBIER), GERMANY, 5.5%, RUBBER-CLAD GRAVITY KEG
2, SOUTHERN TIER BREWING CO. WARLOCK IMPERIAL PUMPKIN STOUT, NEW YORK, 9.6%, DRAFT
3, SCHNEIDER WIESEN EDEL-WEISSE HEFEWEIZEN, GERMANY, 6.2%, WOOD-CLAD GRAVITY KEG
4, NEUZELLE KYRITZER MORD & TOTSCHLAG SCHWARZBIER, GERMANY, 7.2%, DRAFT
26, AVERY BAD APPLE, WILD ALE AGED IN OAK BARRELS W/ GRANNY SMITH APPLES, COLORADO, 6.0%, DRAFT
27, PETRUS AGED PALE, WILD ALE, BELGIUM, 7.3%, DRAFT
28, GREEN FLASH & FOUNDERS BARREL-AGED LINCHPIN, WHITE IPA AGED IN RED WINE BARRELS W/ BRETTANOMYCES, CALIFORNIA & MICHIGAN, 7.0%, DRAFT
29, DUCLAW MAD BISHOP, OKTOBERFEST, MARYLAND, 5.8%, DRAFT
30, EGGENBERG SAMICHLAUS CLASSIC VINTAGE 2012 DUNKLES DOPPELBOCK, AUSTRIA, 14.0%, DRAFT
31, LÖWENBRÄU LAGERBIER, HELLES LAGER (KELLERBIER), GERMANY, 4.8%, RUBBER-CLAD GRAVITY KEG
32, MAHRS KELLERBIER UNGESPUNDET HEFETRÜB, HELLES LAGER (KELLERBIER), GERMANY, 5.2%, DRAFT
33, EPIC & DC BRAU FERMENTATION WITHOUT REPRESENTATION IMPERIAL PUMPKIN PORTER, UTAH & WASHINGTON, DC, 8.0%, DRAFT
34, HOFBRÄU MÜNCHEN PREMIUM LAGER – CEREMONIAL WOOD-CLAD KEG, HELLES LAGER, GERMANY, 4.9%, WOOD-CLAD GRAVITY KEG
35, FLYING DOG THE FEAR VINTAGE 2012, IMPERIAL PUMPKIN PORTER, MARYLAND, 9.0%, DRAFT
36, SIERRA NEVADA STOUT, AMERICAN STOUT, CALIFORNIA, 5.8%, CASK
37, MOTHER EARTH OLD NEIGHBORHOOD OATMEAL PORTER OATMEAL PORTER, NORTH CAROLINA, 5.5%, DRAFT
38, 21ST AMENDMENT & ELYSIAN HE SAID: BELGIAN-STYLE TRIPEL (WHITE), PUMPKIN TRIPEL W/ TARRAGON & GALANGAL, CALIFORNIA & WASHINGTON, 8.2%, DRAFT
39, ELYSIAN & 21ST AMENDMENT HE SAID: BALTIC-STYLE PORTER (BLACK), IMPERIAL PUMPKIN PORTER W/ CINNAMON & CARAWAY, WASHING- TON & CALIFORNIA, 8.2%, DRAFT
40, NORTH COAST BARREL-AGED OLD RASPUTIN XV, IMPERIAL STOUT AGED IN BOURBON BARRELS, CALIFORNIA, 11.5%, DRAFT
41, STILLWATER WHY CAN’T IBU? SAISON, MARYLAND, 6.0%, DRAFT
42, BOULDER DRAGONHÖSEN, IMPERIAL OKTOBERFEST, COLORADO, 9.0%, DRAFT
43, RAVENBEER SPECIAL LAGER, VIENNA LAGER, 5.3%, MARYLAND, 5.3%, DRAFT
44, WEIßENOHER ALTFRÄNKISCH KLOSTERBIER, OKTOBERFEST (KELLERBIER), GERMANY, 5.1%, RUBBER-CLAD GRAVITY KEG
45, FOUNDERS BREAKFAST STOUT (W/ BOURBON-SOAKED OAK CHIPS & TSIN TSIN CHILI PEPPERS IN THE CASK), IMPERIAL STOUT, MICHIGAN, 8.3%, CASK
46, GREAT LAKES OKTOBERFEST OKTOBERFEST, OHIO, 6.5%, DRAFT
47, EVOLUTION JACQUES AU LANTERN PUMPKIN ALE, MARYLAND, 6.1%, DRAFT
48, PERENNIAL BREWER’S IPA #7, AMERICAN IPA, MISSOURI, 6.0%, DRAFT
49, SARANAC TRAMONAY VINEYARD SAISON SAISON W/ GRAPES, NEW YORK, 7.4%, DRAFT
50, BAYERISCHER BAHNHOF LEIPZIGER PORTICUS VINTAGE 2011 IMPERIAL PORTER W/ BRETTANOMYCES, GERMANY, 7.0%, DRAFT
51, SOUTHERN TIER PUMKING, IMPERIAL PUMPKIN ALE, NEW YORK, 8.6%, DRAFT
52, DUCK-RABBIT MÄRZEN, OKTOBERFEST, NORTH CAROLINA, 4.8%, DRAFT
53, MAHR'S UNFILTERED PILSNER, PILSNER (KELLERBIER), GERMANY, 4.9%, RUBBER-CLAD GRAVITY KEG
54, ANGRY ORCHARD CRISP APPLE CIDER CIDER, MASSACHUSETTS, 5%, DRAFT
55, BROOKLYN OKTOBERFEST OKTOBERFEST, NEW YORK, 5.5%, DRAFT
56, 3 STARS SOUTHERN BELLE, IMPERIAL BROWN ALE (W/ PECANS, WASHINGTON, DC, 8.7%, DRAFT
57, DOMINION OCTOBERFEST, OKTOBERFEST, DELAWARE, 6.4%, DRAFT
58, SIXPOINT AUTUMNATION, FRESH HOP IPA, NEW YORK, 6.7%, DRAFT
59, STARR HILL BOXCAR PUMPKIN PORTER PUMPKIN PORTER, VIRGINIA, 5.2%, DRAFT
60, AECHT SCHLENKERLA OAK SMOKE, RAUCHBIER, GERMANY, 8%, WOOD-CLAD GRAVITY KEG
61, HOFSTETTEN HOCHZEITSBIER VON 1810, OKTOBERFEST, AUSTRIA, 6.3%, WOOD-CLAD GRAVITY KEG
62, TRÖEGS SCRATCH #43: OKTOBERFEST OKTOBERFEST, PENNSYLVANIA, 5.5%, DRAFT
63, SMUTTYNOSE PUMPKIN ALE, PUMPKIN ALE, NEW HAMPSHIRE, 5%, DRAFT
64, VICTORY FESTBIER, OKTOBERFEST, PENNSYLVANIA, 5.6%, DRAFT
65, SIERRA NEVADA NORTHERN HEMISPHERE HARVEST ALE FRESH HOP IPA, CALIFORNIA, 6.7%, DRAFT
66, WEIHENSTEPHANER FESTBIER WIESENBIER, GERMANY, 5.8%, DRAFT
67, WEYERBACHER IMPERIAL PUMPKIN ALE, IMPERIAL PUMPKIN ALE, 8%, PENNSYLVANIA, DRAFT
68, HEAVY SEAS WINTER STORM, EXTRA SPECIAL BITTER, MARYLAND, 7.5%, DRAFT
69, MAHR’S HELL, HELLES LAGER (KELLERBIER), GERMANY, 4.9%, RUBBER-CLAD GRAVITY KEG
70, TIMMERMANS PUMPKIN LAMBICUS PUMPKIN LAMBIC, BELGIUM, 4%, DRAFT
71, LOST RHINO RHINO'FEST OKTOBERFEST, VIRGINIA, 5.5%, DRAFT
72, AVERY LILIKOI KEPOLO (MAHU), WITBIER W/ PASSIONFRUIT, COLORADO, 5.6%, DRAFT
73, UINTA WET ‘N WYLD, FRESH HOP PALE ALE, UTAH, 4%, DRAFT
74, OTTER CREEK OKTOBERFEST OCTOBERFEST, VERMONT, 4.5%, DRAFT
75, DOGFISH HEAD PUNKIN’ ALE, PUMPKIN ALE, DELAWARE, 7%, DRAFT
76, MAHR’S KELLERBIER UNGESPUNDET HEFETRÜB HELLES LAGER (KELLERBIER), GERMANY, 5.2%, RUBBER-CLAD GRAVITY KEG
77, PORT CITY OKTOBERFEST OKTOBERFEST, VIRGINIA, 5.5%, DRAFT
78, ELYSIAN DARK O’ THE MOON, PUMPKIN STOUT, WASHINGTON, 6.4%, DRAFT
79, WEISSENOHER MONK’S FEST OKTOBERFEST, GERMANY, 5.2%, DRAFT
80, MÖNCHSHOF KELLERBIER, HELLES LAGER (KELLERBIER), GERMANY, 5.4%, DRAFT
81, BAYERISCHER BAHNHOF BERLINER WEISSE – HAFER BERLINER WEISSE W/ OATS, GERMANY, 3%, DRAFT
82, WEISSENOHER BENEDIKTINER ZWICKEL, HELLES LAGER (KELLERBIER), GERMANY, 4.9%, RUBBER-CLAD GRAVITY KEG
83, SMUTTYNOSE STRAW-BARB SHORT WEISSE BERLINER WEISSE W/ STRAWBERRIES & RHUBARB, NEW HAMPSHIRE, 3.5%, DRAFT
84, MAHR’S SAPHIR WEISSE, HEFEWEIZEN, GERMANY, 5.6%, DRAFT
85, BOULEVARD TANK 7 FARMHOUSE ALE SAISON, MISSOURI, 8%, DRAFT
86, SCHNEIDER WIESEN EDEL-WEISSE HEFEWEIZEN, GERMANY, 6.2%, DRAFT
87, ELYSIAN NIGHT OWL PUMPKIN ALE PUMPKIN ALE, WASHINGTON, 5.9%, DRAFT
88, HOFSTETTEN HOCHZEITSBIER VON 1810 OKTOBERFEST, AUSTRIA, 6.3%, DRAFT,
89, AVERY UNCLE JACOB’S STOUT, IMPERIAL STOUT AGED IN BOURBON BARRELS, COLORADO, 17%, DRAFT
90, WEISSENOHER MONK’S FEST, OKTOBERFEST, GERMANY, 5.2%, RUBBER-CLAD GRAVITY KEG
91, FRITZ BRIEM 1809, BERLINER WEISSE, GERMANY, 5%, DRAFT
92, AVERY THE KAISER, IMPERIAL OKTOBERFEST, COLORADO, 10%, DRAFT
93, TRÖEG'S DEAD RECKONING PORTER PORTER, PENNSYLVANIA, 5.8%, DRAFT
94, NEW HOLLAND ICHABOD, PUMPKIN ALE, MICHIGAN, 4.8%, CASK
95, ERDINGER OKTOBERFEST WEIZEN HEFEWEIZEN, GERMANY, 5.7%, DRAFT
96, SCHLAFLY PUMPKIN ALE, IMPERIAL PUMPKIN ALE, MISSOURI, 8%, DRAFT
97, BRUERY AUTUMN MAPLE, BELGIAN STRONG DARK ALE W/ YAMS & SPICES, CALIFORNIA, 10%, DRAFT
98, HOFBRÄU MÜNCHEN OKTOBERFESTBIER WIESENBIER, GERMANY, 6.3%, DRAFT
99, OMMEGANG SCYTHE & SICKEL, BELGIAN PALE ALE, NEW YORK, 5.8%, DRAFT
100, WEISSENOHER BONATOR, DOPPELBOCK, GERMANY, 8.2%, RUBBER-CLAD GRAVITY KEG
